License Type Name,County Name,Premises Name,DBA,Address,City,State,Zip,Neighborhood
"GROCERY BEER, WINE PROD",NEW YORK,HANAM ASSET ACQUISTION INC,,153 55 AMSTERDAM AVENUE,NEW YORK,NY,10023,
"GROCERY BEER, WINE PROD",NEW YORK,MELNI FOOD CORP,MELISSA GOURMET,1879 BROADWAY,NEW YORK,NY,10023,
"GROCERY BEER, WINE PROD",NEW YORK,ROSAN FOOD CORP,FINE FARE,1891 3RD AVENUE,NEW YORK,NY,10029,
"GROCERY BEER, WINE PROD",NEW YORK,ANDYS 418 COLUMBUS AVE DELI INC,,418 COLUMBUS AVE,NEW YORK,NY,10024,
"GROCERY BEER, WINE PROD",NEW YORK,C & N GROCERY STORE INC,ANDYS DELI,295 AMSTERDAM AVE,NEW YORK,NY,10024,
"GROCERY BEER, WINE PROD",NEW YORK,COLUMBUS AVENUE FOOD CORP,,476 COLUMBUS AVENUE,NEW YORK,NY,10024,
"GROCERY CHAIN, WINE PROD",NEW YORK,D AGOSTINO SUPERMARKETS INC,D AGOSTINO,633 COLUMBUS AVE,NEW YORK,NY,10024,
"GROCERY CHAIN, WINE PROD",NEW YORK,NAMDOR INC,GRISTEDE'S # 56,251 W 86TH ST,NEW YORK,NY,10024,
"GROCERY CHAIN, WINE PROD",NEW YORK,NAMDOR INC,GRISTEDE'S # 511,500 COLUMBUS AVENUE,NEW YORK,NY,10024,
"GROCERY BEER, WINE PROD",NEW YORK,WESTSIDE SUPERMARKET,2171 BROADWAY LTD,2171 BROADWAY,NEW YORK,NY,10024,
"GROCERY BEER, WINE PROD",NEW YORK,ZABARS & CO INC,,2245 BROADWAY,NEW YORK,NY,10024,
"GROCERY BEER, WINE PROD",NEW YORK,530 FOOD CORP,KEY FOOD,530 534 AMSTERDAM AVENUE,NEW YORK,NY,10024,
"GROCERY BEER, WINE PROD",NEW YORK,HANS FAMILY FRUITS & VEGETABLES CORP,HANS GROCERY,2501 BROADWAY,NEW YORK,NY,10025,
"GROCERY BEER, WINE PROD",NEW YORK,103 MANHATTAN GROCERY AVE CORP,,62 MANHATTAN AVENUE,NEW YORK,NY,10025,
"GROCERY BEER, WINE PROD",NEW YORK,MANI MARKET PLACE INC,,697 COLUMBUS AVENUE,NEW YORK,NY,10025,
"GROCERY BEER, WINE PROD",NEW YORK,PAUL SAINI DELI GROCERY INC,,730 COLUMBUS AVENUE,NEW YORK,NY,10025,
"GROCERY BEER, WINE PROD",NEW YORK,RANCHOS FOOD CORP,BRAVO SUPERMARKET,71 81 W 104TH STREET,NEW YORK,NY,10025,
"GROCERY CHAIN, WINE PROD",NEW YORK,NAMDOR INC,GRISTEDE'S # 5,262 W 96TH STREET,NEW YORK,NY,10025,
"GROCERY BEER, WINE PROD",NEW YORK,104 BROADWAY FARM INC,,2717 BROADWAY,NEW YORK,NY,10025,
"GROCERY BEER, WINE PROD",NEW YORK,987 SUPERMARKET INC,,987 AMSTERDAM AVE,NEW YORK,NY,10025,
"GROCERY BEER, WINE PROD",NEW YORK,CATALINO ABREU,AMERICAN MEAT MKT & GROC,2051 8TH AVENUE,NEW YORK,NY,10026,
"GROCERY BEER, WINE PROD",NEW YORK,NEW WAY FOOD MARKET INC,,"1902 7TH AVENUE, STORE #1",NEW YORK,NY,10026,
"GROCERY BEER, WINE PROD",NEW YORK,CENTRAL PARK NORTH MEAT LLC,FINE FAIR,37 41 LENOX AVENUE,NEW YORK,NY,10026,
"GROCERY BEER, WINE PROD",NEW YORK,A L M SUPERMARKET INC,APPLE TREE,1225 AMSTERDAM AVENUE,NEW YORK,NY,10027,
"GROCERY BEER, WINE PROD",NEW YORK,IBRAHIM M YABAI,MANHATTAN AVE FOOD MARKET,507 MANHATTAN AVENUE,NEW YORK,NY,10027,
"GROCERY BEER, WINE PROD",NEW YORK,LEONEL MINI MARKET INC,,273 W 131ST STREET,NEW YORK,NY,10027,
"GROCERY BEER, WINE PROD",NEW YORK,MORNINGSIDE SUPERMARKET CORP,MET FOOD SUPERMARKET,1316 AMSTERDAM AVENUE,NEW YORK,NY,10027,
"GROCERY BEER, WINE PROD",NEW YORK,2395 ALKRIS FOOD CORP,BRAVO SUPERMARKET,2395 99 FREDERICK DOUGLAS BLVD,NEW YORK,NY,10027,
"GROCERY BEER, WINE PROD",NEW YORK,560 WEST MEAT & PRODUCE CORP,C TOWN,560 W 125TH STREET,NEW YORK,NY,10027,
"GROCERY CHAIN, WINE PROD",NEW YORK,D AGOSTINO SUPERMARKETS INC,D AGOSTINO,1223 LEXINGTON AVE,NEW YORK,NY,10028,
"GROCERY CHAIN, WINE PROD",NEW YORK,NAMDOR INC,GRISTEDE'S # 50,342 350 E 86TH STREET,NEW YORK,NY,10028,
"GROCERY CHAIN, WINE PROD",NEW YORK,NAMDOR INC,GRISTEDE'S # 53,1644 YORK AVENUE,NEW YORK,NY,10028,
"GROCERY BEER, WINE PROD",NEW YORK,MADISON PRODUCE CORP,,1307 9 MADISON AVE,NEW YORK,NY,10028,
"GROCERY CHAIN, WINE PROD",NEW YORK,NAMDOR INC,GRISTEDE'S # 506,40 42 E END AVENUE,NEW YORK,NY,10028,
"GROCERY BEER, WINE PROD",NEW YORK,ORANGE & WHITE MARKETS INC,,1565 1ST AVENUE,NEW YORK,NY,10028,
"GROCERY BEER, WINE PROD",NEW YORK,YOUNG CHUN KIM,,1578 YORK AVENUE,NEW YORK,NY,10028,
"GROCERY BEER, WINE PROD",NEW YORK,EAST HARLEM GROCERY CORP,SHOP SMART FOOD CENTER,85 E 110TH STREET,NEW YORK,NY,10029,
"GROCERY BEER, WINE PROD",NEW YORK,JORGE MELO,EL BARRIO SUPERETTE,1858 LEXINGTON AVENUE,NEW YORK,NY,10029,
"GROCERY BEER, WINE PROD",NEW YORK,MOHAMED M ALOUBAHI,STOP 1 LEXINGTON DELI,1801 LEXINGTON AVENUE,NEW YORK,NY,10029,
"GROCERY CHAIN, WINE PROD",NEW YORK,NAMDOR INC,GRISTEDE'S # 437,1343 LEXINGTON AVENUE,NEW YORK,NY,10029,
"GROCERY BEER, WINE PROD",NEW YORK,DOMINGO NUNEZ,DOMINGO'S GROCERY,2591 8TH AVENUE,NEW YORK,NY,10030,
"GROCERY BEER, WINE PROD",NEW YORK,FAMILY GROCERY NO 2 INC,,2620 8TH AVE,NEW YORK,NY,10030,
"GROCERY BEER, WINE PROD",NEW YORK,STEP 1 DELI GROCERY INC,,685 LENOX AVE,NEW YORK,NY,10030,
"GROCERY BEER, WINE PROD",NEW YORK,FELIX DIAZ,LUCKY DIAZ MINI MKT INC,3518 BROADWAY,NEW YORK,NY,10031,
"GROCERY BEER, WINE PROD",NEW YORK,HAMILTON CORNER MEAT MARKET INC,,1 HAMILTON PLACE,NEW YORK,NY,10031,
"GROCERY BEER, WINE PROD",NEW YORK,MARGARITA ORTIZ,MARGARITA GROCERY,3462 BROADWAY,NEW YORK,NY,10031,
"GROCERY BEER, WINE PROD",NEW YORK,RAFAEL H PEGUERO,RAFAEL GROCERY STORE,501 W 134TH STREET,NEW YORK,NY,10031,
"GROCERY BEER, WINE PROD",NEW YORK,3011 GROCERY INC,,3320 BROADWAY,NEW YORK,NY,10031,
"GROCERY BEER, WINE PROD",NEW YORK,3484 BROADWAY MINI MARKET INC,,3484 BROADWAY,NEW YORK,NY,10031,
"GROCERY BEER, WINE PROD",NEW YORK,3550 FOOD CORP,KEY FOOD SUPERMARKET,3550 52 BROADWAY,NEW YORK,NY,10031,
"GROCERY BEER, WINE PROD",NEW YORK,756 JOMO FOOD CORP,FOODTOWN,756 ST NICHOLAS AVENUE,NEW YORK,NY,10031,
"GROCERY BEER, WINE PROD",NEW YORK,AMIN A ASSAIDI,,4067 1/2 BROADWAY,NEW YORK,NY,10032,
"GROCERY BEER, WINE PROD",NEW YORK,FUAD H AL SAIDI,A & F GROCERY,3801 BROADWAY,NEW YORK,NY,10032,
"GROCERY BEER, WINE PROD",NEW YORK,J F MEAT & GROCERY CORP,C-TOWN,1016 ST NICHOLAS AVE,NEW YORK,NY,10032,
