Zip Code,Dog Name,Animal Gender
10475,NENA,F
10314,LEXI,F
10012,ZEENA,F
10314,MARCOS,M
11201,KRYSTAL,M
11421,GIDGET,F
10028,SOPHIE,F
10021,MAGGIE,F
10017,PRONTO,M
10003,SNICKERS,M
11378,LADY,F
10028,MIA,F
10021,SUGAR,F
11234,MISHKA,M
11420,JACK,M
10312,SCOOBY-DOO,M
11354,ANGEL,F
10025,BROWNIE,M
11421,BINGO,M
11214,PENNY,F
11355,COQUITO,M
10003,PEANUT,F
10003,THUMPER,F
11210,DAISY,F
10011,DAPHNE,F
10456,PEBBLES,F
10465,GINGER,F
10302,AMBER,F
10306,WALLY,M
10013,EDDIE,M
10304,HONEY,F
10024,ROCKY,M
10022,BENZ,M
11201,VEDA,F
10469,SISI,F
11414,NIKKO,M
10309,SPIKE,M
10306,ROCKY,M
11433,LITO,M
10031,HATTIE,F
11104,OLIVER,M
10011,SOPHIE,F
10017,EMMA,F
10028,MISSY,F
11362,BELLA,F
11379,JAKE,M
11229,LAYLA,F
10469,BUBU,F
10021,COCO,F
10455,CLINTON,M
10024,CASEY,F
10306,HALEY,F
11230,GNOM,M
11432,DUKE,M
10312,REGGIE,M
10309,ICE,F
10312,SADIE,F
11228,SANDY,F
10307,MELANIE,F
10025,MARCEL,M
11219,PEPPINO,M
10025,CLARENCE,M
10305,CHEE,M
10030,GRYPHON,M
11004,KOBE,F
11224,TRUNKS,M
11413,FRANKIE,M
11230,CASEY,F
10034,TEDDY,M
10024,ZOE,F
11360,PRINCESS,F
10314,LEXUS,M
10465,STACIE,F
11692,FUNIA,F
10029,SAMIRA,F
10306,JAKE,M
11220,LULU,M
11417,GINGER,F
11231,MR.,M
10023,VIVIAN,F
10304,MAMITA,F
11379,MINDY,F
11420,ROMEO,M
11379,BIANCA,F
10028,BOGART,M
11223,ANGEL,F
11354,SIMBA,M
11367,MOTI,F
10023,MITZVAH,M
10306,ZULA,F
11209,LUNDY,M
10011,HERBIE,M
10019,ANNIE,F
10011,PATTY,F
10314,DARBY,M
11365,BRUNO,M
11230,VERSACE,M
10003,TIMMY,M
10029,MYLO,M
10024,MACABEE,M
10308,RANGER,M
10306,CHELSEA,F
10108,JOEY,M
10465,APRIL,F
11229,GINGER,F
10028,GINGERPUFF,F
10128,SARA,F
10038,TIA,F
11369,CHRISTY,F
11231,SKY,F
11105,NEMO,M
10314,JACK,M
10021,RUBY,M
10022,POLLYANNA,F
10021,ZIPPER,M
11106,CHERRY,F
11105,CASSIE,F
10451,BENJAMIN,M
11360,MOPE,M
11370,TOLIE,M
10003,PEACHES,F
11238,FIGARO,M
10023,CHANA,M
11385,PEANUT,M
11432,MAGGIE,F
10034,BENGI,M
10034,ARCHIE,F
10022,COMET,F
10021,LEXIE,F
10463,CASEY,F
11234,XENA,F
10307,LOLA,F
11234,BENTLEY,M
10308,BENNY,M
11209,ALISON,F
10455,DAISY,F
10312,WOODY,M
